id,mid,model,pid,tier,backend,runtime,pattern1_status,pattern1_pass,roundtrip_verdict,deterministically_verified,detail
3,m001,sonnet-4-6,p003,T1,sage,python,complete,1,ROUNDTRIP_PASS,True,"x = [-1/3, 1/3]"
4,m001,sonnet-4-6,p003,T1,sympy,python,complete,1,ROUNDTRIP_PASS,True,"x = [-1/3, 1/3]"
5,m001,sonnet-4-6,p003,T1,sympy,python,complete,1,ROUNDTRIP_PASS,True,"x = [-1/3, 1/3]"
6,m002,gemma3,p003,T1,sympy,python,complete,1,ROUNDTRIP_PASS,True,"x = [-1/3, 1/3]"
9,m003,gemma4:e2b,p003,T1,sympy,python,complete,1,ROUNDTRIP_PASS,True,"x = [-1/3, 1/3]"
11,m004,qwen2.5,p003,T1,sympy,python,complete,1,ROUNDTRIP_PASS,True,"x = [-1/3, 1/3]"
12,m005,deepseek-v2:16b,p003,T1,sympy,python,complete,1,ROUNDTRIP_PASS,True,"x = [-1/3, 1/3]"
13,m006,phi3,p003,T1,sympy,python,solver_error,0,NOT_EXECUTED,,
14,m007,phi4,p003,T1,sympy,python,solver_error,0,NOT_EXECUTED,,
15,m008,llama3.2,p003,T1,sympy,python,complete,1,ROUNDTRIP_PASS,True,"x = [-1/3, 1/3]"
16,m009,lfm2.5,p003,T1,sympy,python,plan_error,0,NOT_EXECUTED,,
17,m010,rnj-1,p003,T1,sympy,python,complete,1,ROUNDTRIP_PASS,True,"x = [-1/3, 1/3]"
18,m001,sonnet-4-6,p003,T1,sage,python,complete,1,ROUNDTRIP_PASS,True,"x = [-1/3, 1/3]"
19,m002,gemma3,p003,T1,sage,python,complete,1,ROUNDTRIP_PASS,True,"x = [-1/3, 1/3]"
20,m003,gemma4:e2b,p003,T1,sage,python,complete,1,ROUNDTRIP_PASS,True,"x = [-1/3, 1/3]"
21,m004,qwen2.5,p003,T1,sage,python,complete,1,ROUNDTRIP_PASS,True,"x = [-1/3, 1/3]"
22,m005,deepseek-v2:16b,p003,T1,sage,python,complete,1,ROUNDTRIP_FAIL,False,9*x^2 - 1
23,m006,phi3,p003,T1,sage,python,solver_error,0,NOT_EXECUTED,,
24,m007,phi4,p003,T1,sage,python,solver_error,0,NOT_EXECUTED,,
25,m008,llama3.2,p003,T1,sage,python,complete,1,ROUNDTRIP_PASS,True,"x = [-1/3, 1/3]"
26,m009,lfm2.5,p003,T1,sage,python,plan_error,0,NOT_EXECUTED,,
27,m010,rnj-1,p003,T1,sage,python,complete,1,ROUNDTRIP_PASS,True,"x = [-1/3, 1/3]"
28,m007,phi4,p003,T1,sage,python,complete,1,ROUNDTRIP_PASS,True,"x = [-1/3, 1/3]"
29,m007,phi4,p003,T1,sage,python,complete,1,ROUNDTRIP_PASS,True,"x = [-1/3, 1/3]"
30,m006,phi3,p003,T1,sage,python,complete,1,ROUNDTRIP_PASS,True,"x = [-1/3, 1/3]"
32,m001,sonnet-4-6,p001,T0,sympy,python,complete,1,ROUNDTRIP_PASS,True,4*x**3 - 4*x
34,m001,sonnet-4-6,p011,T0,sympy,python,complete,1,ROUNDTRIP_PASS,True,x + 1
