arxiv_id,title,summary_desc,authors
2308.08155,AutoGen: Enabling Next-Gen LLM Applications via Multi-Agent Conversation,"AutoGen is an open-source framework designed to facilitate the creation of LLM applications through multi-agent conversation. Developers can build customizable agents capable of complex tasks by defining flexible interaction patterns using natural language or code. The framework utilizes combinations of LLMs, human input, and tools across diverse modes of operation. Empirical evaluations showcase AutoGen’s effectiveness in a range of application domains including mathematics, coding, and decision-making. Ultimately, AutoGen offers a versatile infrastructure for developing varied LLM applications with differing complexities.",Qingyun Wu; Gagan Bansal; Jieyu Zhang; Yiran Wu; Beibin Li; Erkang Zhu; Li Jiang; Xiaoyun Zhang; Shaokun Zhang; Jiale Liu; Ahmed Hassan Awadallah; Ryen W White; Doug Burger; Chi Wang
2212.06094,Prompting Is Programming: A Query Language for Large Language Models,"This research introduces Language Model Programming (LMP), a new approach that combines text prompts with scripting to more effectively utilize large language models for diverse tasks. At the heart of LMP is LMQL, a Language Model Query Language designed to generate efficient inference procedures by incorporating constraints and control flow from prompts. The method allows for adaptation to many tasks while simplifying interaction with language model internals.  Evaluations demonstrate that LMQL maintains or improves accuracy across several downstream tasks, alongside significant cost reductions – up to 85% – when using pay-to-use APIs.",Luca Beurer-Kellner; Marc Fischer; Martin Vechev
2310.03714,DSPy: Compiling Declarative Language Model Calls into Self-Improving Pipelines,"Dspy presents a novel programming model for constructing and optimizing language model pipelines by representing them as text transformation graphs. This approach allows LMs to self-improve through parameterized modules that learn from demonstrations across prompting, finetuning, and reasoning techniques. A compiler then optimizes these DSPy programs to maximize performance metrics, achieving significant gains compared to traditional prompt templates and expert-designed pipelines with models like GPT-3.5 and llama2-13b-chat.  Experiments demonstrate that DSPy can create self-optimizing pipelines surpassing existing methods by substantial margins – often over 25% - while utilizing smaller LMs competitively.",Omar Khattab; Arnav Singhvi; Paridhi Maheshwari; Zhiyuan Zhang; Keshav Santhanam; Sri Vardhamanan; Saiful Haq; Ashutosh Sharma; Thomas T. Joshi; Hanna Moazam; Heather Miller; Matei Zaharia; Christopher Potts
2312.07104,SGLang: Efficient Execution of Structured Language Model Programs,"SGLang is a new system designed to efficiently execute complex programs generated by large language models, addressing the need for better control over tasks like agent behavior and structured output. The system utilizes a specialized frontend language alongside a runtime incorporating optimizations such as RadixAttention and compressed finite state machines. Experiments demonstrate SGLang’s effectiveness through significant throughput improvements – up to 6.4x – across diverse applications including agent control, reasoning, and generation pipelines compared to existing inference systems.  The core innovation lies in its ability to accelerate LLM program execution for complex tasks. The source code is openly available for further development and research.",Lianmin Zheng; Liangsheng Yin; Zhiqiang Xie; Chuyue Sun; Jeff Huang; Cody Hao Yu; Shiyi Cao; Christos Kozyrakis; Ion Stoica; Joseph E. Gonzalez; Clark Barrett; Ying Sheng
2510.04173,Open Agent Specification (Agent Spec): A Unified Representation for AI Agents,"The paper introduces Open Agent Specification (Agent Spec), a declarative language designed to standardize AI agent definitions and workflows across various frameworks. This specification provides a common set of components, data flow rules, and schemas for consistent agent execution and evaluation.  Researchers demonstrated Agent Spec’s capabilities by evaluating four distinct runtimes on three benchmarks using a standardized evaluation harness. The authors developed accompanying toolsets including a Python SDK and adapters for popular agent frameworks to facilitate adoption. Ultimately, Agent Spec aims to improve the reusability, portability, and comparability of AI agents within different environments.",Soufiane Amini; Yassine Benajiba; Cesare Bernardis; Paul Cayet; Hassan Chafi; Abderrahim Fathan; Louis Faucon; Damien Hilloulin; Sungpack Hong; Ingo Kossyk; Tran Minh Son Le; Rhicheek Patra; Sujith Ravi; Jonas Schweizer; Jyotika Singh; Shailender Singh; Weiyi Sun; Kartik Talamadupula; Jerry Xu
2512.19769,A Declarative Language for Building And Orchestrating LLM-Powered Agent Workflows,"This research introduces a new declarative language designed to simplify the creation and management of LLM-powered agent workflows. The system decouples workflow specification from implementation, allowing for execution across diverse languages and environments while leveraging common patterns like data serialization and RAG retrieval through a unified DSL.  Evaluation using PayPal’s e-commerce data revealed a significant 60% reduction in development time and a threefold increase in deployment velocity compared to traditional imperative coding. The approach enables non-technical users to modify agent behavior and achieves sub-100ms orchestration overhead, exemplified by workflows expressed in under 50 lines of DSL versus over 500 lines of code.",Ivan Daunis
2603.04241,Agentics 2.0: Logical Transduction Algebra for Agentic Data Workflows,"Agentics 2.0 is a new Python framework designed for building robust and scalable agentic data workflows within enterprise AI deployments. It utilizes a logical transduction algebra to treat large language model inference as typed semantic transformations – “transducible functions” – ensuring schema validity and evidence locality. This system enables parallel, stateless execution through asynchronous Map-Reduce programs, providing reliability, observability, and scalability.  The framework’s effectiveness is demonstrated by achieving state-of-the-art performance on benchmarks like DiscoveryBench and Archer.",Alfio Massimiliano Gliozzo; Junkyu Lee; Nahuel Defosse
2604.05150,Compiled AI: Deterministic Code Generation for LLM-Based Workflow Automation,"This research introduces “compiled AI,” a system where large language models generate deterministic code for workflow automation, prioritizing reliability and auditability over runtime flexibility. The approach utilizes a four-stage pipeline to convert probabilistic LLM outputs into production code, focusing on constrained business logic within validated templates. Evaluations across function calling (BFCL) and document intelligence (DocILE) tasks demonstrate significant improvements in efficiency – including near-zero execution tokens and substantial token reduction – alongside strong performance metrics like 96% task completion and high accuracy in key field extraction. Security evaluations revealed robust protection against prompt injection and static code vulnerabilities.",Geert Trooskens; Aaron Karlsberg; Anmol Sharma; Lamara De Brouwer; Max Van Puyvelde; Matthew Young; John Thickstun; Gil Alterovitz; Walter A. De Brouwer
2508.02721,"Blueprint First, Model Second: A Framework for Deterministic LLM Workflow","This research introduces the \textsc{Source Code Agent} framework to overcome the non-deterministic nature of large language models for structured tasks. The “Blueprint First, Model Second” approach separates workflow logic into deterministic execution blueprints and utilizes LLMs only for specific sub-tasks.  Evaluating on the TravelPlanner benchmark, the framework achieved a significant 35.56% final pass rate, substantially outperforming the ATLAS baseline. Notably, it drastically reduced constraint violations and improved execution efficiency while demonstrating successful application across diverse procedurally defined workflows. Ultimately, this work facilitates verifiable and reliable autonomous agent deployment in environments requiring strict procedural adherence.",Libin Qiu; Yuhang Ye; Zhirong Gao; Xide Zou; Junfu Chen; Ziming Gui; Weizhi Huang; Xiaobo Xue; Wenkai Qiu; Kun Zhao
2304.11477,LLM+P: Empowering Large Language Models with Optimal Planning Proficiency,"The paper introduces LLM+P, a novel framework that combines the capabilities of large language models with classical planners to address the limitations of LLMs in solving long-horizon planning tasks.  LLM+P converts natural language problem descriptions into PDDL files for efficient solution finding by planners and then translates the resulting plan back into natural language. Experiments on diverse benchmark problems demonstrate that LLM+P consistently produces optimal plans, significantly outperforming standard LLMs which often fail to generate even feasible solutions. The framework’s effectiveness is supported by publicly available code and results.",Bo Liu; Yuqian Jiang; Xiaohan Zhang; Qiang Liu; Shiqi Zhang; Joydeep Biswas; Peter Stone
2501.00539,MCP-Solver: Integrating Language Models with Constraint Programming Systems,"The MCP Solver introduces a novel approach to enhance Large Language Models by integrating them with traditional constraint programming systems via the Model Context Protocol. This system provides LLMs with access to formal reasoning capabilities through interfaces for solvers like Minizinc, PySAT, and Z3.  It utilizes an iterative validation editing process to maintain model consistency during modifications and facilitate structured refinement of solutions. Ultimately, MCP-Solver aims to combine the strengths of both LLMs and symbolic solvers for more robust problem-solving.",Stefan Szeider
2603.23909,DUPLEX: Agentic Dual-System Planning via LLM-Driven Information Extraction,"DUPLEX introduces a novel agentic approach to robotic planning that leverages the strengths of both Large Language Models (LLMs) and symbolic planners. The system utilizes a “Fast System” for deterministic information extraction from natural language into PDDL problems, while a “Slow System” iteratively refines plans using an LLM when faced with challenges. Extensive testing across various planning domains showed DUPLEX significantly improved success rates and reliability compared to existing methods. Crucially, the research highlights that restricting the LLM’s role to structured semantic grounding – rather than full plan generation – is key for robust robotic planning.",Keru Hua; Ding Wang; Yaoying Gu; Xiaoguang Ma
2306.15626,LeanDojo: Theorem Proving with Retrieval-Augmented Language Models,"The paper introduces LeanDojo, an open-source environment for theorem proving with large language models, addressing the lack of reproducibility in existing research. This system utilizes fine-grained annotations from Lean proofs to train ReProver, a retrieval-augmented prover that selects premises from a comprehensive math library.  ReProver’s retriever identifies accessible premises and negative examples, improving retrieval effectiveness. Experimental results demonstrate ReProver’s superior performance compared to baseline methods and GPT-4 on a newly constructed benchmark of 98,734 theorems. The authors release LeanDojo and ReProver under an MIT license, fostering further research in this field.",Kaiyu Yang; Aidan M. Swope; Alex Gu; Rahul Chalamala; Peiyang Song; Shixing Yu; Saad Godil; Ryan Prenger; Anima Anandkumar
2205.11491,HyperTree Proof Search for Neural Theorem Proving,"This research introduces HyperTree Proof Search (HTPS), a novel search algorithm inspired by AlphaZero, for automating theorem proving using a transformer-based model. The model employs an online training procedure to learn from previous proof attempts and generalize across diverse mathematical domains. Experiments demonstrate that the core HTPS algorithm alone achieves 65.4% accuracy on Metamath theorems, surpassing prior benchmarks. Further online training on unproven theorems boosts this performance to 82.6%, and the approach significantly improves proving accuracy within the Lean miniF2F-curriculum dataset from 31% to 42%.",Guillaume Lample; Marie-Anne Lachaux; Thibaut Lavril; Xavier Martinet; Amaury Hayat; Gabriel Ebner; Aurélien Rodriguez; Timothée Lacroix
