ticker,markowitz_wt%,min_variance_wt%,max_sharpe_wt%,risk_parity_wt%,hrp_wt%,cvar_wt%,markowitz_$,min_variance_$,max_sharpe_$,risk_parity_$,hrp_$,cvar_$
AAPL,19.59,19.59,20.00,12.62,13.97,20.00,19591,19591,20000,12620,13966,20000
MSFT,8.36,8.36,0.00,7.78,8.28,0.00,8364,8364,0,7783,8277,0
GOOGL,9.89,9.89,17.42,7.94,5.82,20.00,9887,9887,17424,7939,5820,20000
AMZN,1.32,1.32,0.00,6.43,4.79,0.00,1319,1319,0,6434,4793,0
NVDA,3.85,3.85,5.10,6.08,4.10,2.89,3848,3848,5104,6078,4105,2893
GDX,1.55,1.55,3.04,4.19,1.19,3.12,1555,1555,3037,4192,1191,3124
SILJ,0.00,0.00,2.60,3.22,0.85,8.53,0,0,2602,3217,847,8530
WEAT,15.44,15.44,20.00,11.74,16.70,20.00,15436,15436,20000,11736,16704,20000
DBA,20.00,20.00,11.83,20.00,27.54,5.45,20000,20000,11834,20000,27537,5452
XLE,20.00,20.00,20.00,20.00,16.76,20.00,20000,20000,20000,20000,16760,20000
