recipe_id,recipe_name,spl_script_name,problem_description,solver_domain,solver_library,known_optimal,verification_class,n_variables,objectives
01,Hello World,hello.spl,Minimal SPL program — verify spl2 + adapter + model work,LLM-workflow,LLM-only,,none,,
02,Ollama Proxy,proxy.spl,General-purpose LLM query — proxy any Ollama model,LLM-workflow,LLM-only,,none,,
03,Multilingual Greeting,multilingual.spl,Greet in any language — parametric context demo,LLM-workflow,LLM-only,,none,,
04,Model Showdown,showdown.spl,Same prompt to multiple models — compare output and latency via parallel CTEs,LLM-workflow,LLM-only,,probabilistic,,
05,Self-Refine,self_refine-product_gen.spl,Iterative improvement: draft → critique → refine loop,LLM-workflow,LLM-only,,probabilistic,,
06,ReAct Agent,react_agent.spl,Population growth via WebSearch + Python tool — requires claude_cli adapter and --allowed-tools WebSearch,LLM-workflow,LLM-only + WebSearch,,probabilistic,,
07,Safe Generation,safe_generation.spl,Exception handling for production LLM safety,LLM-workflow,LLM-only,,probabilistic,,
08,RAG Query,rag_query.spl,Retrieval-augmented generation over indexed documents — requires: spl2 rag add <doc>,RAG,LLM-only + vector-db,,probabilistic,,
09,Chain of Thought,chain.spl,Multi-step reasoning: Research → Analyze → Summarize,LLM-workflow,LLM-only,,probabilistic,,
10,Batch Test,batch_test.spl,Automated testing of cookbook recipes across models via parallel CTEs,LLM-workflow,LLM-only,,probabilistic,,
11,Debate Arena,debate.spl,Adversarial debate between two LLM personas with a judge,LLM-workflow,LLM-only,,probabilistic,,
12,Plan and Execute,plan_execute.spl,"Planner decomposes task into steps, executor runs each one",LLM-workflow,LLM-only,,probabilistic,,
13,Map-Reduce Summarizer,map_reduce.spl,"Split large docs into chunks, summarize each, combine results",LLM-workflow,LLM-only,,probabilistic,,
14,Multi-Agent Collaboration,multi_agent.spl,Researcher → Analyst → Writer collaboration via PROCEDURE,LLM-workflow,LLM-only,,probabilistic,,
15,Code Review,code_review.spl,"Multi-pass review: security, performance, style, bugs",LLM-workflow,LLM-only,,probabilistic,,
16,Reflection Agent,reflection.spl,Meta-cognitive loop: solve → reflect → correct until confident,LLM-workflow,LLM-only,,probabilistic,,
17,Tree of Thought,tree_of_thought.spl,"Explore multiple reasoning paths, score and pick the best",LLM-workflow,LLM-only,,probabilistic,,
18,Guardrails Pipeline,guardrails.spl,Input/output safety pipeline with PII detection and filtering,LLM-workflow,LLM-only,,probabilistic,,
19,Memory Conversation,memory_chat.spl,Persistent memory across conversations via memory.get/set,LLM-workflow,LLM-only + memory,,probabilistic,,
20,Ensemble Voting,ensemble.spl,"Generate multiple answers, score and vote for consensus",LLM-workflow,LLM-only,,probabilistic,,
21,Multi-Model Pipeline,multi_model.spl,Per-step model selection with GENERATE...USING MODEL and quality loop,LLM-workflow,LLM-only,,probabilistic,,
22,Text2SPL Demo,,"Natural language to SPL 2.0 compiler — prompt, workflow, and auto modes",LLM-workflow,LLM-only,,probabilistic,,
23,Structured Output,structured_output.spl,CREATE FUNCTION with JSON schema — extract typed data from free text,LLM-workflow,LLM-only,,probabilistic,,
24,Few-Shot Prompting,few_shot.spl,Gold-standard examples embedded in SELECT context — in-context learning,LLM-workflow,LLM-only,,probabilistic,,
25,Nested Procedures,nested_procs.spl,PROCEDURE calling PROCEDURE — deep composability without external orchestration,LLM-workflow,LLM-only,,probabilistic,,
26,Prompt A/B Test,ab_test.spl,"CTEs + EVALUATE scoring — compare two prompt variants, pick winner automatically",LLM-workflow,LLM-only,,probabilistic,,
27,Data Extraction,data_extraction_map.spl,"Pull structured fields from messy text — names, dates, amounts, references",LLM-workflow,LLM-only,,probabilistic,,
28,Customer Support Triage,support_triage.spl,Classify → route → draft response in one workflow,LLM-workflow,LLM-only,,probabilistic,,
29,Meeting Notes to Actions,meeting_actions.spl,"Transcript in, structured TODO list + owners out",LLM-workflow,LLM-only,,probabilistic,,
30,Code Generator + Tests,code_gen.spl,Generate a function then generate its unit tests in one workflow,Code-Generation,LLM-only,,probabilistic,,
